lon,lat,depth
-76.339912,44.138454,23.397234
-76.337959,44.137711,38.976830
-76.337349,44.136105,37.653656
-76.359070,44.144257,5.524379
-76.357307,44.145035,5.558129
-76.355522,44.144550,4.026824
-76.354233,44.145645,4.034440
-76.352592,44.145557,2.928464
-76.351364,44.146893,2.791926
-76.349998,44.146484,2.087435
-76.349556,44.145153,1.971585
-76.348137,44.145569,2.328439
-76.346863,44.145039,2.644308
-76.362617,44.142078,4.274885
-76.362968,44.143673,7.358616
-76.361977,44.144573,8.740181
-76.360512,44.144787,7.391595
-76.364677,44.140026,2.710269
-76.364403,44.141338,3.988809
-76.334862,44.135738,29.071245
-76.333702,44.134373,12.272640
-76.331367,44.134060,10.954479
-76.330116,44.132641,7.840640
-76.331070,44.131611,5.557899
-76.500664,44.220188,10.848073
-76.500061,44.218464,16.273518
-76.499077,44.221363,6.731902
-76.498024,44.217876,17.568602
-76.497833,44.216187,18.848528
-76.499641,44.215073,19.066381
-76.499573,44.213490,19.037962
-76.497810,44.212967,18.564978
-76.498268,44.211391,18.282732
-76.496819,44.210770,18.260279
-76.497551,44.209301,18.199682
-76.496025,44.208752,18.199966
-76.496590,44.207310,18.069103
-76.498596,44.206409,17.985779
-76.498375,44.204914,17.789875
-76.499809,44.203976,17.612993
-76.498924,44.202480,17.137466
-76.500191,44.201550,17.011292
-76.499290,44.200073,16.575686
-76.497078,44.199543,16.328447
-76.496727,44.198029,13.323048
-76.494926,44.197433,10.636078
-76.495064,44.195862,7.479441
-76.493362,44.195312,7.163921
-76.493187,44.193829,6.533031
-76.494675,44.192871,6.271551
-76.494148,44.191349,5.637043
-76.492180,44.190861,5.668022
-76.491577,44.189396,5.358086
-76.489502,44.189129,5.141137
-76.488609,44.187820,4.490794
-76.489723,44.186726,4.526785
-76.488747,44.185299,4.212807
-76.490028,44.184315,4.215621
-76.490028,44.182880,4.188306
-76.488708,44.181934,4.578287
-76.489784,44.180328,4.629932
-76.488464,44.179184,3.788992
-76.345192,44.145824,2.802850
-76.343681,44.144855,5.047068
-76.342010,44.145416,6.591881
-76.340187,44.144516,10.676445
-76.340111,44.143066,12.736165
-76.338043,44.142426,15.478185
-76.338043,44.140903,16.488365
-76.336052,44.139954,30.990570
-76.336082,44.138386,45.556053
-76.334160,44.137135,43.616516
-76.360596,44.146244,7.993039
-76.359131,44.146954,6.872670
-76.357292,44.146271,6.304977
-76.355408,44.146709,5.278551
-76.354927,44.148251,8.166778
-76.353027,44.148865,7.326042
-76.351471,44.148254,3.703831
-76.349815,44.149536,2.715457
-76.347916,44.149399,2.190256
-76.347420,44.147934,2.522074
-76.348579,44.146908,2.444288
-76.345314,44.147381,2.564767
-76.366158,44.142353,4.535225
-76.365814,44.143635,5.028044
-76.364403,44.144215,7.565359
-76.364586,44.145679,7.031211
-76.363228,44.146606,7.425911
-76.362061,44.146030,9.341624
-76.367081,44.139725,2.829045
-76.368752,44.140808,3.193948
-76.368118,44.142120,3.621588
-76.367775,44.138340,1.949704
-76.332199,44.137451,27.206795
-76.329994,44.136395,11.676633
-76.329651,44.134953,11.045867
-76.327248,44.133850,8.411272
-76.327599,44.132446,5.665956
-76.496681,44.220631,11.449656
-76.496246,44.218861,16.860910
-76.494995,44.221462,6.963737
-76.494202,44.218090,18.223545
-76.494072,44.216442,18.909002
-76.495918,44.215527,18.826296
-76.495964,44.213894,18.571163
-76.494087,44.213150,18.215128
-76.494484,44.211609,18.186495
-76.492912,44.210770,18.374496
-76.493713,44.209381,18.448566
-76.492180,44.208454,18.509298
-76.492889,44.207256,18.204340
-76.494995,44.206741,18.012747
-76.494843,44.205311,17.707857
-76.496216,44.204388,17.568310
-76.495323,44.202927,17.175259
-76.496590,44.201962,16.921295
-76.495644,44.200504,16.547886
-76.493294,44.200012,16.509302
-76.492928,44.198467,13.602895
-76.491158,44.197926,10.739186
-76.491455,44.196350,7.456849
-76.489868,44.195801,6.925899
-76.489716,44.194321,6.214653
-76.491127,44.193386,6.114713
-76.490639,44.191929,5.884212
-76.488747,44.191578,5.839762
-76.488213,44.190235,5.406622
-76.486168,44.190121,5.003627
-76.485336,44.188961,4.069922
-76.486488,44.187763,3.822574
-76.485527,44.186508,4.015561
-76.486664,44.185131,4.369804
-76.485619,44.183792,4.945022
-76.486572,44.182312,5.112885
-76.485321,44.180996,4.161400
-76.486137,44.179478,2.785863
-76.343636,44.148190,2.607076
-76.341850,44.147198,4.389970
-76.340141,44.147739,6.204163
-76.338295,44.146851,10.990848
-76.338188,44.145401,13.261221
-76.335915,44.144810,18.534208
-76.335854,44.143284,18.691452
-76.333946,44.142330,29.239214
-76.334145,44.140514,40.528156
-76.332207,44.139267,38.683918
-76.363457,44.148148,4.718470
-76.361610,44.149033,5.324301
-76.359306,44.148285,6.395963
-76.356987,44.149151,8.716497
-76.357132,44.150677,8.734708
-76.354561,44.151409,9.446033
-76.352516,44.150497,8.587087
-76.350433,44.150745,4.617920
-76.349739,44.152302,6.116428
-76.347839,44.152740,4.091909
-76.346062,44.151806,2.021134
-76.345955,44.150364,2.157906
-76.343788,44.149715,2.532033
-76.369392,44.143269,3.472177
-76.368607,44.144642,3.751304
-76.366982,44.144772,4.393534
-76.366112,44.146011,4.499724
-76.366783,44.147324,3.953620
-76.365479,44.148540,3.777664
-76.370064,44.138016,1.629412
-76.371521,44.139263,1.742536
-76.370903,44.140667,2.427731
-76.372383,44.141937,2.410857
-76.371513,44.143223,3.027663
-76.330406,44.139797,23.414804
-76.328278,44.138851,11.656598
-76.327873,44.137264,11.395552
-76.325615,44.136387,10.448792
-76.325325,44.134418,8.095278
-76.323334,44.133587,5.256602
-76.492737,44.220539,12.188684
-76.492378,44.218933,18.037237
-76.491112,44.221241,7.233288
-76.490379,44.218235,19.208218
-76.490311,44.216705,19.220631
-76.492180,44.215748,18.735107
-76.492157,44.214096,18.296368
-76.490303,44.213596,18.362743
-76.489540,44.212238,18.559427
-76.490517,44.211060,18.586567
-76.488930,44.209789,18.719477
-76.489799,44.208572,18.568138
-76.488426,44.207291,18.306995
-76.489479,44.206036,18.013905
-76.491554,44.206116,17.970087
-76.492714,44.204952,17.629282
